text,label 
"послушай и найди на картинке артистов, которые здороваются и знакомятся с тобой",коммуникативное
"послушай и повтори, как знакомятся с артисты",языковое
разыграйте с одноклассником,коммуникативное
послушай и повтори названия профессий,языковое
"назови и сосчитай артистов, которые пришли на детский праздник",коммуникативное
объяви выход артистов,коммуникативное
"догадайся, какие цифры спрятались назови правильном порядке",коммуникативное
"послушай и повтори вопросы тома, на которые отвечает артист",языковое
"скажи, кто ты, как тебя зовут и сколько тебе лет",коммуникативное
узнай у артистов,коммуникативное
послушай и повтори рифмовку,языковое
расскажи о себе,коммуникативное
объяви их выход,коммуникативное
"посчитай и скажи, сколько мыльных пузырей получилось у каждого артиста",коммуникативное
"догадайся и назови, какие цифры потерялись на празднике",коммуникативное
"послушай разговор тома с одним из артистов. скажи, кто это",коммуникативное
расспроси одноклассника,коммуникативное
попробуй посчитать до,языковое
представтся от имени артиста,коммуникативное
"послушай рассказ одного из них. найди его на картинке и скажи, кто это",коммуникативное
"скажи, что умеют делать эти артисты",коммуникативное
"скажи, что ты умеешь делать",коммуникативное
"скажи, что он умеет",коммуникативное
вспомни и назови все команды,коммуникативное
вспомни и назови английские согласные,коммуникативное
представься и расскажи,коммуникативное
послушай и повтори названия вещей. найди их на картинке.,языковое
"скажи, кто ты, как тебя зовут и сколько тебе лет",коммуникативное
узнай у одноклассников умеют ли они...,коммуникативное
"скажи, какие вопросы дети задают друг другу",коммуникативное
продолжи разговор,коммуникативное
сосчитай их и назови в алфавитном порядке,коммуникативное
"скажи, что ты узнал о нем",коммуникативное
"назови цифры, которых там нет",коммуникативное
"скажи, как Трикки готовит",коммуникативное
скажи какое домашнее животное есть у тебя ,коммуникативное
скажи. чего на самом деле эти животные не умеют делать,коммуникативное
"скажи, какие цифры потерял Тим",коммуникативное
"скажи, что Алиса умеет делать",коммуникативное
"скажи, о чем она забыла рассказать",коммуникативное
"посчитай, сколько на ней гласных букв",языковое
расскажи какого цвета твои школьные принадлежности,коммуникативное
скажи какого цвета воздушные шары и осенние листья,коммуникативное
назови цвета которые можво увидеть в осеннем лесу ,коммуникативное
разыграйте с одноклассником беседу налиста и лучшей актрисы театра,коммуникативное
найди гласную букву картинке,языковое
послушай и повтори рифмовку,языковое
расскажи мартину себе,коммуникативное
найди согласную букву р картинке,языковое
послушай и повтори рифмовку,языковое
послушай джилл браун рассказывает своей семье посмотри картинку и назови всех е членов,коммуникативное
расскажи семье браун имени джима джилл используй модель,коммуникативное
выбери и назови лишнюю букву,языковое
найди согласную букву картинке послушай и повтори рифмовку,языковое
послушай и назови того рассказывает своей семье,коммуникативное
посмотри картинки и скажи рассказать своей семье каждый этих артистов,коммуникативное
разыграйте с одноклассником разговор трикки с томасом семье,коммуникативное
послушай и спой песню дружбе вместе с артистами,языковое
назови цвет страница скажи сколько листьев и какого цвета нарисовал мартин,коммуникативное
назови цвета листьев которых бывает в природе,коммуникативное
сосчитай и скажи сколько животных в зоопарке,языковое
угадай и назови какое домашнее живот есть у алисы,коммуникативное
составь пары глухие звонкие домашнее задание выполни в рабочей тетради упражнения странице страница,языковое
разыграйте с одноклассником беседу тима с джоном,коммуникативное
послушай и повтори рифмовку,языковое
послушай и повтори названия спортивных в которые умеет играть трикки,языковое
изобрази в какие спортивные игры умеешь играть пусть одноклассники догадаются и назовут,коммуникативное
посмотри картинки догадайся и каких слов состоят названия этих,языковое
скажи сколько и какие животные есть этой ферме,коммуникативное
расспроси о семье и домашних животных,коммуникативное
расскажи в своей радиопередаче однокласснику,коммуникативное
найди согласную букву х картинке послушай и повтори рифмовку,языковое
угадай в какие спортивные игры умеют играть и,коммуникативное
посмотри предметы занятий спор и расскажи билли может использовать ф,коммуникативное
послушай и скажи действительно умеет а чего умеет делать,коммуникативное
расспроси трех своих одноклассников спорта которыми занимаются заполни таблицу,коммуникативное
"Послушай и повтори, как Том репетирует новое стихотворение",языковое
Прочитай вслух слова,языковое
Прочитай про себя загадку,языковое
Послушай и спой песенку о дружбе,языковое
Прочитай предложения: Выбери верный ответ из предложенных,языковое
Послушай и повтори рифмовку за ней,языковое
Послушай и прочитай,языковое
"Назови слова, в которых есть эти звуки:",коммуникативное
Прочитай предложения и назови номера соответствующих им картинок.,языковое
"Прочитай слова, которые можно обозначить значками",языковое
Послушай рассказ Джона о его питомце: Догадайся и назови его,коммуникативное
Выбери  верный ответ из предложенных,языковое
"Послушай, повтори и прочитай считалку самостоятельно",языковое
Придумай предложения co словами,коммуникативное