exercise_id,page,section,raw_text
1,5,Module 5,"1 Спой песенку.
Hello, hello, everyone,
I'm Nanny Shine, hello!
Come in and get ready,
Come on, everyone - let's go!

My name is Nanny Shine.
Tell me. What's your name?
My name is Nanny Shine.
Nanny Shine's my name!"
2,5,Module 5,"2 Поговори со своим одноклассником, используя образец.
Hello, I m Nanny Shine. What s your name?
Hello, I m Anna"
3,6,Module 5,"3 Hello или Goodbye? Посмотри на картинки и скажи.

1

2"
4,6,Module 5,"4 Поприветствуй одноклассников, как показано в образце.

Hello, Anna. How are you?
Fine, thanks!"
5,7,Module 5,"1 Слушай и повторяй за диктором.
a ant
b bed
c cat
d dog
e egg
f flag
g glass
h horse"
6,7,Module 5,2 Спой песенку.
7,8,Module 5,3 Посмотри на картинки и напиши первую букву в своей тетради.
8,8,Module 5,1 _ orse
9,8,Module 5,2 _ at
10,8,Module 5,3 _ nt
11,8,Module 5,4 _ gg
12,8,Module 5,5 _ lass
13,8,Module 5,6 _ lag
14,8,Module 5,7 _ og
15,8,Module 5,8 _ ed
16,9,Module 5,"1 Слушай и повторяй за диктором.
i ink
j jug
k kangaroo
l lamp
m mouse
n nest
o orange
p pin
q queen"
17,9,Module 5,2 Спой песенку.
18,10,Module 5,3 Посмотри на картинку и прочти нужное слово.
19,10,Module 5,"Напиши его в своей тетради.

1
a queen
b pin

2
a dog
b kangaroo

3
a ant
b ink

4
a mouse
b horse

5
a jug
b orange

6
a lamp
b flag

7
a ant
b nest

8
a glass
b jug

9
a bed
b lamp"
20,11,Module 5,"1 Слушай и повторяй за диктором.

r rabbit
s snake
t tree

u umbrella
v vest

w window
x box

y yacht
z zip"
21,11,Module 5,2 Спой песенку.
22,12,Module 5,"3 Перепиши слова в тетрадь, вставляя пропущенные буквы.
1
w _ _ d _ w
2
_ e _ t
3
_ m _ _ e _ la
4
b _ x
5
_ _ p
6
s _ _ k _
7
t _ _ e
8
_ a _ h _
9
_ _ b _ _ t"
23,12,Module 5,"4 Прочитай слова и выбери правильный ответ.
1
a horse
b snake
c kangaroo
2
a box
b yacht
c jug
3
a mouse
b dog
c rabbit
4
a glass
b vest
c nest"
24,13,Module 5,"1 Слушай и повторяй за диктором.

sh sheep fish ship"
25,13,Module 5,"2 Перепиши слова в тетрадь,
вставляя пропущенные буквы."
26,13,Module 5,1 s _ a __
27,13,Module 5,2 __ rs _
28,13,Module 5,3 e __
29,13,Module 5,4 __ __ n
30,13,Module 5,"5 ____

12"
31,14,Module 5,"3 Слушай и повторяй за диктором.
ch
chick
cheese"
32,14,Module 5,"4 Какие картинки лишние?
ch
sh"
33,15,Module 5,"1 Слушай и повторяй за диктором.

th

the, this

thumb

thimble"
34,15,Module 5,"2 Составь слова и напиши их в тетради.

1

t b h m u

2

t e i l h m b"
35,16,Module 5,"3 Слушай и повторяй за диктором.

ph

photo dolphin elephant"
36,16,Module 5,"4 f или ph? Перепиши слова в тетрадь, вставляя пропущенные буквы."
37,16,Module 5,1 fish
38,16,Module 5,2 dol _ _ in
39,16,Module 5,3 _ lag
40,16,Module 5,4 ele _ _ ant
41,17,Module 5,"1 Слушай и повторяй за диктором.

A a
B b
C c
D d
E e
F f
G g
H h
I i
J j
K k
L l
M m
N n
O o
P p
Q q
R r
S s
T t
U u
V v
W w
X x
Y y
Z z"
42,18,Module 5,"2 Подбери нужные слова к картинкам и перепиши их в тетрадь.

cat
lamp
horse
pin
jug
rabbit
orange
window"
43,18,Module 5,1 cat CAT
44,18,Module 5,2 horse HORSE
45,18,Module 5,3 jug JUG
46,18,Module 5,4 lamp LAMP
47,18,Module 5,5 orange ORANGE
48,18,Module 5,6 pin PIN
49,18,Module 5,7 rabbit RABBIT
50,18,Module 5,8 window WINDOW
51,18,Module 5,"3 Спой песенку, сопровождая её движениями.

A B C D E F G H I J K L M,
I can sing the alphabet,
Can you do the same?
I can sing the alphabet,
I've got it in my head!
N O P Q R S T U V W X Y Z!"
52,19,Module 5,"1 Слушай и повторяй за диктором.
Larry
Lulu
Chuckles
Nanny Shine"
53,19,Module 5,"2 Поговори со своим одноклассником, используя образец.
I'm Larry! This is my sister Lulu.
Hello, Larry! Hello, Lulu!"
54,21,Module 5,1 Прослушай диалог и прочитай его.
55,21,Module 5,"1 Punch & Judy: Hello, children!
Punch: Hello, I m Punch and this is my friend Judy.
Larry & Lulu: Hello, Punch. Hello, Judy!"
56,21,Module 5,"2 Nanny: Hello, I m Nanny Shine!
Punch: Hello, Nanny Shine!"
57,21,Module 5,"3 Larry: Hello, I m Larry and this is my sister Lulu!
Lulu: Hello!
Punch & Judy: Hello, Larry! Hello, Lulu!"
58,22,Module 5,"2 Спой песенку, сопровождая её движениями.

stand up

sit down

Stand up, sit down,
Keep moving!
Stand up, sit down,
Keep moving!
Stand up, sit down,
Keep moving,
We're all at school today!

open your books

close your books

Starter Module 21"
59,23,Module 5,"1 Слушай и повторяй за диктором.
mummy daddy grandma grandpa"
60,23,Module 5,"2 Поговори со своим одноклассником, используя образец.
This is my brother.
brother daddy
mummy grandma grandpa"
61,24,Module 5,Прослушай диалог и прочитай его.
62,24,Module 5,"1 Lulu: Hello, Mummy!
Larry: Hello, Daddy!"
63,24,Module 5,"2 Mummy: Larry, Lulu, close your eyes!
Larry & Lulu: OK.
Daddy: Open your eyes now!"
64,24,Module 5,"3 Grandma & Grandpa: Hello, Larry! Hello, Lulu!
Larry: Grandma! Grandpa!
Lulu: Nanny! This is Grandma and this is Grandpa!"
65,25,Module 5,"1 Слушай и повторяй за диктором.
Colours
red
yellow
green
white
blue"
66,25,Module 5,2 Перерисуй картинки в тетрадь и раскрась их.
67,25,Module 5,1 a yellow snake
68,25,Module 5,2 a red window
69,25,Module 5,3 a blue vest
70,25,Module 5,4 a white egg
71,25,Module 5,5 a green tree
72,27,Module 5,1 My Home!
73,27,Module 5,"1 Слушай и повторяй за диктором.

tree house
chair
table
radio
bed"
74,27,Module 5,"2 Поговори со своим одноклассником, используя образец.

What's this?
It's a radio!"
75,28,Module 5,Прослушай диалог и прочитай его.
76,28,Module 5,"1 Lulu: Grandma, Grandpa, look at our tree house!
Grandpa: Oh, a red chair!
Grandma: That s nice!"
77,28,Module 5,"2 Larry: Look, Grandma! A yellow table!
Grandma: Oh, yes! It s lovely!"
78,28,Module 5,"3 Grandpa: What s this, Larry?
Larry: It s a radio, Grandpa! Listen!"
79,28,Module 5,Прочитай диалог ещё раз
80,28,Module 5,"и выбери правильный ответ.
a Oh, a red chair!
b Oh, a blue chair!"
81,29,Module 5,"1 Угадай, что изображено на картинках, и скажи, используя образец."
82,29,Module 5,1 It's a ...
83,29,Module 5,"2 Посмотри на картинку, прочитай слова и выбери правильный ответ.
tree
table
chair
cheese
radio
rabbit
bed
box"
84,29,Module 5,28 Module 1
85,31,Module 1,"1 Слушай и повторяй за диктором.

garden
bedroom
black/brown

kitchen
house"
86,31,Module 1,"2 Поговори со своим одноклассником, используя образец.

Where's Mummy?
In the kitchen."
87,33,Module 1,1 Прослушай диалоги и прочитай их.
88,33,Module 1,"1 Lulu: Chuckles, come here!
Larry: Oh no! He s in the house!
Lulu: Where s Mummy?"
89,33,Module 1,Larry: Look! Mummy s in the kitchen.
90,33,Module 1,"2 Larry: Where s Daddy?
Lulu: He s in the bedroom.
Larry: But where s Chuckles?
Lulu: Quick! Let s go!"
91,34,Module 1,"2 Перечитай диалоги и выбери правильный ответ.

Where's Daddy?"
92,34,Module 1,"3 Спой песенку, сопровождая её движениями.

Chuckles is in the house,
Chuckles is in the tree,
Chuckles is in the tree house,
Looking at you and me!

Chuckles is in the kitchen,
Chuckles is in the house,
Chuckles is in the bathroom,
Looking at a mouse!"
93,35,Module 1,3 In the Bath!
94,35,Module 1,"1 Слушай запись и повторяй за диктором.

living room
bathroom
bath"
95,35,Module 1,"2 Спой песенку, сопровождая её движениями.

This is my house,
This is the door!
The windows are clean,
and so is the floor!

Outside there's a chimney,
As tall as can be,
With smoke that goes up,
Come and see!"
96,35,Module 1,34 Module 1
97,36,Module 1,Прослушай диалог и прочитай его.
98,36,Module 1,"1 Larry: Is Chuckles in the living room?
Lulu: No, he isn t."
99,36,Module 1,"2 Larry: Is he in the kitchen?
Lulu: No, he isn t."
100,36,Module 1,"3 Lulu: Is he in the bedroom?
Larry: No, he isn t."
101,36,Module 1,"4 Larry: Is he in the bathroom?
Lulu: Yes, he is! Look! He s in the bath!"
102,36,Module 1,"Прочитай диалог ещё раз и закончи предложение.
Chuckles is in the ... ."
103,37,Module 1,"1 Давай поиграем!

I spy with my little eye something in the kitchen.

A red chair?"
104,37,Module 1,"2 Слушай и повторяй за диктором.

A red hen in a green tree!"
105,37,Module 1,"3 /e/ or /i/? Перерисуй таблицу в тетрадь и заполни её.

/e/ | /i/
--- | ---
... | ...
... | ...
... | ...

red
bed
queen
egg
green
sheep"
106,37,Module 1,36 Module 1
107,38,Module 1,"4 Давай сделаем домик!

1
2
3
4"
108,38,Module 1,"5 Спой песенку,
сопровождая её
движениями.

Footprints in the kitchen,
Footprints in the hall,
Footprints on the floor,
Footprints on the wall!

Footprints in the living room,
Footprints on the stairs,
Footprints in the bedroom,
Footprints on the chairs!

Footprints in the bathroom,
But where is naughty Chuckles?
Footprints in the bath,
He s there with all the bubbles!"
109,39,Module 1,"Прочитай и напиши о своей спальне используя образец.
This is my bedroom: a blue chair, a red bed and a brown table.

Gardens in the UK
In the UK people love their gardens. You can see a lot of nice things in them!

a bird house a greenhouse a garden gnome"
110,39,Module 1,38 Module 1
111,40,Module 1,2 matchboxes
112,40,Module 1,"2 paper clips
  a toothpick
  a long piece of string

1
2
3
4"
113,41,Module 1,40 - Module 1
114,43,Module 1,"1 Поговори со своим одноклассником,
используя образец.

Where's Daddy?
He's in the bedroom."
115,44,Module 1,2 Прочитай слова и выбери соответствующую им картинку.
116,44,Module 1,"1 garden
A
B
C"
117,44,Module 1,"2 bathroom
A
B
C"
118,44,Module 1,"3 living room
A
B
C"
119,44,Module 1,"4 bedroom
A
B
C"
120,44,Module 1,"3 Прочитай словосочетания и выбери правильный ответ.
1
A
B
a black chair
4
A
B
a yellow radio
2
A
B
a blue bath
5
A
B
a red bed
3
A
B
a green tree house
6
A
B
a brown table"
121,45,Module 1,4 My Birthday!
122,45,Module 1,"1 Слушай и повторяй за диктором.

candles party
happy sad

one two three
four five six
seven eight nine ten"
123,45,Module 1,"2 Поговори со своим одноклассником, используя образец

How old are you?
I m five!"
124,45,Module 1,"6 9 7 10 8
six nine seven ten eight"
125,46,Module 1,Прослушай диалог и прочитай его.
126,46,Module 1,"1 Man: You re happy today, Lulu!
Lulu: Yes! It s my birthday!
Man: How old are you today?
Lulu: I m five! Bye!
Man: Happy Birthday!"
127,46,Module 1,"2 Lulu: Hello, Nanny! Let s go into the house!
Nanny: OK, dear!"
128,46,Module 1,3 Lulu: Where s Mummy? Where s Daddy? Where s Larry? Where s my birthday party?
129,46,Module 1,"4 Nanny: Don t be sad, Lulu! Let s go into the garden, dear!
All: SURPRISE!"
130,46,Module 1,"4 Прочитай диалог ещё раз и выбери правильный ответ.
How old is Lulu? a 5 b 7"
131,47,Module 2,"1 Закончи предложения и прочитай их. Перепиши их в тетрадь.
1
He s ... .
2
He s ... .
3
It s a ... .
4
They are ... ."
132,47,Module 2,"2 Прочитай, что говорят дети, и выбери правильный ответ.
I m five/three!
I m ten/one!
I m six/seven!
I m six/nine!
I m nine/four!
I m two/eight!"
133,49,Module 2,5 Yummy Chocolate!
134,49,Module 2,"1 Слушай и повторяй за диктором.

burgers
chips
apples
bananas
sandwiches"
135,49,Module 2,"2 Поговори со своим одноклассником, используя образец.

What's your favourite food?
Chocolate, yummy!"
136,51,Module 2,1 Прослушай диалог и прочитай его.
137,51,Module 2,"1 Lulu: This is a lovely party! Mmm, burgers! I like burgers!"
138,51,Module 2,2 Lulu: Chips too! Yummy! I like chips!
139,51,Module 2,"Larry: Look, Lulu! Sandwiches!
Lulu: Thank you, Larry!"
140,51,Module 2,"3 Lulu: Oh, bananas! Thank you, Chuckles! I like bananas too!"
141,51,Module 2,"2 Чем угощают на празднике? Прочитай диалог ещё раз и выбери правильный ответ.
a
b
c
d
e"
142,53,Module 2,"1 Слушай и повторяй за диктором.

ice cream
pizza
milk
orange juice
chocolate cake"
143,53,Module 2,"2 Спой песенку, сопровождая её движениями.

Happy birthday to you,
Happy birthday to you,
Happy birthday, dear Lulu,
Happy birthday to you!"
144,54,Module 2,Прослушай диалог и прочитай его.
145,54,Module 2,"1 Lulu: What s your favourite food, Nanny?
Nanny: Well, my favourite food is pizza!"
146,54,Module 2,"2 Larry: My favourite food is ice cream!
Nanny: What s your favourite food, Lulu?
Lulu: Well ..."
147,54,Module 2,"3 Lulu: My favourite food is ... chocolate cake!
Everyone: Happy birthday to you ..."
148,54,Module 2,"Прочитай диалог ещё раз и закончи предложение.
Nanny s favourite food is ... ."
149,55,Module 2,"1 Давай поиграем!
I like chips!
I don t like bananas!"
150,55,Module 2,"2 Слушай и повторяй за диктором.
Candles on a chocolate cake!"
151,55,Module 2,"3 /t / или /k/? Перерисуй таблицу в тетрадь и заполни ее.
/t / | /k/
--- | ---
... | ...
... | ...
... | ...
... | ...

chips cake cheese
chair candle chocolate"
152,56,Module 2,4 Давай сделаем открытку!
153,56,Module 2,"5 Спой песенку, сопровождая её движениями.

Hurry, hurry,
Come and see!
Today there's a party,
Just for me!

With burgers, biscuits
And bananas too!
There's lots to eat
For me and you!

Pizza, chips
And sandwiches!
And candles on a cake
To make a wish!

To: Jane,
Happy
Birthday!
From: Kevin"
154,57,Module 2,"Прочитай и напиши о своей любимой еде, используя образец.
My favourite food is burgers and chips. Yummy!
Food Favourites!
Here are some very popular dishes in the UK. Yummy!
Fish and chips
Kebab
Curry"
155,57,Module 2,56 Module 2
156,58,Module 2,"Fun at school

Make your own PARTY HAT

Materials:
  a paper plate
  coloured paper
  paint, markers, or crayons
  scissors
  glue

1
2
3
4"
157,59,Module 2,58   Module 2
158,61,Module 2,"1 Поговори со своим одноклассником, используя образец.
What's your favourite food? Pizza, yummy!"
159,61,Module 2,"2 Сосчитай свечи и выбери правильный ответ.
1
one/two
2
seven/nine
3
ten/eight
4
six/seven
5
three/five
6
four/six"
160,61,Module 2,60 Module 2
161,62,Module 2,3 Прочитай слова и выбери правильный ответ.
162,62,Module 2,"1   egg
   eggs"
163,62,Module 2,"2   apple
   apples"
164,62,Module 2,"3   banana
   bananas"
165,62,Module 2,"4   burger
   burgers"
166,62,Module 2,"5   chip
   chips"
167,62,Module 2,"6   sandwich
   sandwiches"
168,62,Module 2,4 Прочитай слова и найди соответствующие им картинки.
169,62,Module 2,1 candles
170,62,Module 2,2 ice cream
171,62,Module 2,3 chocolate
172,62,Module 2,4 pizza
173,62,Module 2,5 sandwiches
174,62,Module 2,"6 party
a
b
c
d
e
f"
175,63,Module 2,"1 Слушай и повторяй за диктором.
fish
swim
frog
jump
bird
sing
chimp
dance
horse
run"
176,63,Module 2,"2 Поговори со своим одноклассником, используя образец.
I can jump like a frog.
I can jump too.
- run like a horse
- dance like a chimp
- sing like a bird
- swim like a fish"
177,64,Module 2,Прослушай диалог и прочитай его.
178,64,Module 2,"1 Larry: Nanny, look! A fish. I can swim too!
Nanny: Well done, Larry!"
179,64,Module 2,"2 Lulu: Nanny, look! A frog. I can jump too!
Nanny: Well done, dear!"
180,64,Module 2,"3 Nanny: Hurry, children! Food s ready."
181,64,Module 2,"4 Larry: Nanny, where s Chuckles?"
182,64,Module 2,4 Прочитай диалог ещё раз и составь предложения.
183,64,Module 2,1 Larry can a jump.
184,64,Module 2,2 Lulu can b swim.
185,65,Module 2,"1 Прочитай слова, составь предложения и прочитай их."
186,65,Module 2,1 frog
187,65,Module 2,2 bird
188,65,Module 2,3 chimp
189,65,Module 2,4 fish
190,65,Module 2,"5 horse

a sing
b jump
c swim
d run
e dance"
191,65,Module 2,1 A frog can jump.
192,65,Module 2,"2 Что умеют делать дети? Посмотри на картинки и скажи, используя образец.

1
2
3
4

Larry
Lulu
Bob
Peter"
193,65,Module 2,1 Larry can dance.
194,67,Module 3,8 I Can Jump!
195,67,Module 3,"1 Слушай и повторяй за диктором.
climb fly boy girl"
196,67,Module 3,"2 Поговори со своим одноклассником, используя образец.
Can you jump?
Yes, I can.
Can you fly?
No, I can't."
197,69,Module 3,1 Прослушай диалог и прочитай его.
198,69,Module 3,"1 Larry: Chuckles!
Lulu: Chuckles, where are you?"
199,69,Module 3,"2 Larry: Look! There's Chuckles in the tree!
Lulu: Can you climb the tree, Larry?
Larry: No, I can't."
200,69,Module 3,"3 Lulu: Look! Who's that?
Larry: Ha, ha! It's a girl chimp."
201,69,Module 3,"4 Lulu: Look, Nanny! Two chimps. A boy and a girl.
Larry: Yes, Chuckles and Cherry! Ha, ha.
Nanny: Oh dear!"
202,69,Module 3,"2 Прочитай диалог ещё раз и выбери правильный ответ.
Larry can/can t climb the tree."
203,71,Module 3,9 At the Circus!
204,71,Module 3,"1 Слушай и повторяй за диктором.
clown
circus
swing
magician"
205,71,Module 3,"2 Спой песенку, сопровождая её движениями.

At the circus
In the town,
There's a very funny clown!
The clown can run,
And the clown can jump,
Run and jump all day,
Hey!

At the circus
In the town,
There's a very funny chimp!
The chimp can climb,
And the chimp can swing,
Climb and swing all day,
Hey!"
206,72,Module 3,Прослушай диалог и прочитай его.
207,72,Module 3,"1 Larry: Wow, the circus! Look, a clown.
Lulu: Cherry, Cherry, where are you?
Magician: Cherry, Cherry, where are you?"
208,72,Module 3,"2 Nanny: Cherry s here!
Magician: Oh, thank you! Do you want to come to the circus today?
Larry & Lulu: Ooh, yes, please!"
209,72,Module 3,"3 Magician: Now, boys and girls! Look at Cherry. And... Abracadabra, Alacazam! Look!"
210,72,Module 3,4 Nanny: Bravo! Bravo!
211,72,Module 3,"4 Прочитай диалог ещё раз и выбери правильный ответ.
Now, boys and girls, look at ... a Chuckles. b Cherry."
212,73,Module 3,"1 Давай поиграем!
can can't
A horse can run!"
213,73,Module 3,"2 Слушай и повторяй за диктором.
The bird can sing and the girl can swing!"
214,73,Module 3,"3 / / или /  /? Перерисуй таблицу в тетрадь и заполни её.

/ / | /  /
--- | ---
... | ...
... | ...

girl
chimp
bird
fish"
215,73,Module 3,72 Module 3
216,74,Module 3,4 Давай сделаем маску!
217,74,Module 3,"5 Спой песенку, сопровождая её движениями.
I'm a horse! I'm a horse!
And I can jump, of course!"
218,74,Module 3,"Look at me! Look at me!
I'm a cat! I'm a cat!
And I can climb like that!"
219,74,Module 3,"Look at me! Look at me!
I'm a fish! I'm a fish!
And I can swim, splish, splish!"
220,74,Module 3,"Look at me! Look at me!
I'm a chimp! I'm a chimp!
And I can climb and swing!"
221,74,Module 3,Look at me! Look at me!
222,75,Module 3,"Прочитай и напиши, что ты умеешь делать, используя образец.
I can sing and I can dance.
I can jump like a frog too!

Spotlight on the UK
Crazy about Animals!
People in the UK love animals, especially cats and dogs.
Meow!
Popular names for cats are: Fluffy, Sam, Kitty, Smokey and Tiger!
cat
Woof!
Popular names for dogs are: Blackie, Max, Patch, Prince, Lucky and Spot!
dog"
223,75,Module 3,74 Module 3
224,76,Module 3,"Fun at school

Make your own A FISH BOWL YOU CAN EAT!

Materials:
  blue/green jelly
  fish gums (or any other gums)
  clear plastic cups

1
2"
225,76,Module 3,"3 1hr
4
5"
226,77,Module 3,Town Mouse: Look at my living room!
227,77,Module 3,Look at my chair!
228,77,Module 3,And look at the table over there!
229,77,Module 3,76 - Module 3
230,79,Module 3,"1 Поговори со своим одноклассником, используя образец.

Can a horse run?
Yes, it can.
Can a frog fly?
No, it can t.

  chimp
  climb
  frog
  fly
  fish
  sing
  bird
  swim
  horse
  run"
231,79,Module 3,"2 Перепиши слова в тетрадь, вставляя пропущенные буквы.

1
c _ r _ u _
2
m _ g _ c _ _ n
3
_ l _ w _
4
_ _ _ mp"
232,80,Module 3,"3 Прочитай предложения, вставляя пропущенные слова.

Bob Chuckles Alan Sam"
233,80,Module 3,1 ... can dance.
234,80,Module 3,2 ... can sing.
235,80,Module 3,3 ... can swing.
236,80,Module 3,4 ... can run.
237,80,Module 3,"4 Прочитай вопросы, посмотри на картинки и скажи, что ответят дети."
238,80,Module 3,"1 Can you swim? Yes, I can./No, I can t."
239,80,Module 3,"2 Can you climb? Yes, I can./No, I can t."
240,80,Module 3,"3 Can you run? Yes, I can./No, I can t."
241,80,Module 3,"4 Can you jump? Yes, I can./No, I can t."
242,80,Module 3,"5 Can you sing? Yes, I can./No, I can t."
243,81,Module 3,10 My Toys!
244,81,Module 3,"1 Слушай и повторяй за диктором.
teddy bear
toy soldier
ballerina
pink
shelf
on
under
toy box"
245,81,Module 3,"2 Поговори со своим одноклассником, используя образец.
Where's the teddy bear?
It's on the table.
on
under
in
on"
